Traffic_Circle,Fatal_Crashes,Injury_Crashes,NonInjury_Crashes,Total_Crashes
Aman Vihar,10,24,0,34
Ashok Vihar,16,57,2,75
Badarpur,38,76,0,114
Bara Khamba Road,4,10,0,14
Bawana,40,109,1,150
Begum Pur,19,61,0,80
Bhajan Pura,7,35,0,42
Chanakya Puri,13,29,1,43
Chhawla,20,39,3,62
Chitranjan Park,10,56,0,66
Civil Lines,20,71,2,93
Dabri,12,55,3,70
Darya Ganj,13,27,0,40
Defence Colony,12,51,3,66
Delhi Cantt,42,84,5,131
Dwarka,24,171,3,198
Gandhi Nagar,14,34,1,49
Gokul Puri,16,62,1,79
Hauz Khas,23,68,1,92
IGI Airport,8,22,0,30
Jahangir Puri,35,65,0,100
Kalkaji,10,70,6,86
Kalyan Puri,15,41,1,57
Kamla Market,18,51,0,69
Karol Bagh,7,24,1,32
Khajuri Khas,11,62,0,73
Kotwali,24,69,0,93
Lajpat Nagar,32,88,7,127
Madhu Vihar,37,79,2,118
Mangol Puri,24,47,1,72
Maya Puri,27,48,2,77
Mayur Vihar,25,69,2,96
Mehrauli,29,76,0,105
Model Town,13,48,1,62
Najafgarh,27,84,2,113
Nand Nagri,13,64,1,78
Nangloi,43,107,1,151
Narela,38,102,1,141
New Friends Colony,10,54,4,68
Pahar Ganj,16,42,0,58
Parliament House,5,14,0,19
Parliament Street,15,54,1,70
Prashant Vihar,16,59,2,77
Paschim Vihar,41,92,2,135
Patel Nagar,5,39,0,44
Preet Vihar,12,49,0,61
Punjabi Bagh,51,107,0,158
Rajouri Garden,33,99,0,132
Rohini,9,45,0,54
Sadar Bazar,7,22,0,29
Safdarjung Enclave,21,63,6,90
Samaipur Badli,69,89,0,158
Sangam Vihar,6,33,0,39
Sarai Rohilla,8,35,0,43
Sarita Vihar,24,83,3,110
Seelampur,20,92,4,116
Seemapuri,15,49,2,66
Shahdara,8,16,0,24
Shalimar Bagh,25,92,0,117
Subhash Place,25,50,1,76
Sultan Puri,11,22,0,33
Swaroop Nagar,25,45,1,71
Tilak Marg,11,23,0,34
Tilak Nagar,25,82,2,109
Timarpur,39,111,1,151
Tughlak Road,7,25,2,34
Vasant Kunj,45,106,1,152
Vasant Vihar,15,56,4,75
Vivek Vihar,20,49,2,71
