Sl_No,Road_Name,Fatal_2020,Fatal_2021,Fatal_2022,Injury_2020,Injury_2021,Injury_2022,NonInjury_2020,NonInjury_2021,NonInjury_2022,Total_2020,Total_2021,Total_2022
1,Africa Avenue,0,0,0,3,5,7,0,0,0,,,3
2,Alipur Road,0,0,1,2,2,10,0,0,0,,,
3,Anand Mai Marg,8,5,8,12,15,32,0,2,2,,,20
4,Aruna Asaf Ali Marg,1,1,0,3,7,6,0,0,0,,,4
5,Asaf Ali Road,1,1,1,1,3,1,0,0,0,,,2
6,August Kranti Marg,0,0,0,1,4,2,0,0,0,,,1
7,Aurobindo Marg,6,3,6,19,15,17,0,0,,,,
8,Bahadur Shah Zr Marg,2,1,1,2,7,6,0,0,0,,,4
9,Bawana Road,14,19,28,17,28,50,0,0,1,,,
10,Bhati Mine Marg,0,0,0,7,1,0,0,0,0,,,
11,Boulevard Road,2,2,1,7,14,8,0,0,0,,,9
12,Captain Gaur Marg,1,1,1,1,3,3,0,0,0,,,2
13,Chhatarpur Road,0,1,0,3,0,6,0,0,0,,,3
14,Dhansa Road,5,8,8,3,8,7,0,0,2,,,8
15,Desh Bandu Gupta Road,2,3,10,12,11,16,0,1,0,,,14
16,Dr. Ambedkar Road,0,2,0,2,2,0,0,0,0,,,2
17,DSIDC Narela Road,2,0,1,0,1,7,0,0,0,,,2
18,Dwarka Road,0,,,0,,,0,,,,,0
19,Faiz Road,2,0,1,1,1,1,0,0,0,,,3
20,Ghuman Hera Marg,0,2,1,1,2,0,0,0,0,,,1
21,Grand Trunk Road,14,21,25,40,57,71,0,0,2,,,54
22,GTK Road,46,44,65,72,90,117,1,0,1,,,119
23,Gurgaon Road,0,0,0,0,1,0,0,0,0,,,0
24,ISBT Road,0,,0,0,,1,0,,0,,,0
25,Jawahar Lal Nehru Road,4,1,6,1,14,11,0,0,0,,,5
26,Jharoda Road,5,7,7,5,1,13,0,0,0,,,10
27,Kanjhawala Road,10,6,10,23,25,20,0,0,0,,,33
28,Lala Lajpat Rai Path,5,2,5,15,24,21,0,0,1,,,20
29,Loni Road,4,2,3,3,11,14,0,0,1,,,7
30,Mahipal Pur Road,8,3,3,14,11,15,0,0,1,,,22
31,Mandoli Road,1,0,1,1,5,5,0,0,0,,,2
32,Mayapuri Marg,2,4,6,1,4,11,0,1,0,3,9,17
33,Mehrauli Badarpur Road,18,18,20,38,54,24,1,0,1,57,72,45
34,Mehrauli Gurgaon Road,2,11,9,10,12,24,0,0,0,12,23,33
35,Najafgarh Road,20,28,24,84,78,94,0,1,2,104,107,120
36,Najafgarh Nangloi Road,7,10,4,21,28,25,0,0,0,28,38,29
37,Nangloi Sultanpuri Road,0,0,0,0,0,0,0,0,0,0,0,0
38,Naraina Road,1,0,1,3,3,3,0,0,0,4,3,4
39,Narela Road,6,9,9,8,12,20,0,0,0,14,21,29
40,Nelson Mandela Marg,2,0,2,5,6,2,0,0,0,7,6,4
41,New Rohtak Road,7,11,5,17,12,20,0,0,0,24,23,25
42,NH-24,17,15,25,26,32,68,0,0,0,43,47,93
43,NH-8,27,26,29,61,56,55,0,3,0,88,85,84
44,Noida DND Road,3,4,2,6,6,8,0,0,0,9,10,10
45,Old Gurgaon Road,1,2,4,2,3,5,0,0,0,3,5,9
46,Old Rohtak Road,1,2,4,7,6,3,0,0,0,8,8,7
47,Olof Palme Marg,0,0,0,0,0,0,0,0,1,0,0,1
48,Outer Circle C. Place,0,0,4,3,0,4,1,0,0,4,0,8
49,Outer Ring Road,97,95,102,158,182,239,1,3,8,256,280,349
50,Palam Dabri Road,0,0,2,1,1,14,0,0,0,1,1,16
51,Palla Road,1,0,5,0,3,8,0,0,0,1,0,13
52,Panchkuian Road,1,3,2,9,10,2,0,0,1,10,13,5
53,Pankha Road,7,9,9,9,15,19,0,0,0,16,24,28
54,Patel Road,7,4,7,23,23,23,0,0,0,30,27,30
55,Patpar Ganj Road,2,1,3,6,8,6,0,0,1,8,9,10
56,Press Enclave Marg,0,2,4,4,6,5,0,0,0,4,8,9
57,Prithvi Raj Road,0,1,1,0,4,9,0,0,0,0,5,10
58,Qutab Road,0,2,1,0,1,2,0,0,0,0,3,3
59,Raja Ram Marg,3,2,4,3,7,5,0,1,0,6,10,9
60,Rama Road,1,1,3,7,3,7,0,0,0,8,4,10
61,Rani Jhansi Road,0,1,0,16,12,5,0,0,0,16,13,5
62,Rao Tula Ram Marg,1,2,3,10,6,10,0,1,2,11,9,15
63,Ravi Das Marg,3,1,1,3,7,18,0,0,0,,6,8
64,Ring Road,85,85,119,200,192,223,2,3,7,,287,280
65,Rithala Road,3,0,0,4,1,2,0,0,0,,7,1
66,Road No 13,0,0,0,0,2,0,0,0,0,,,
66,Road No,13,0,0,0,0,2,0,0,0,0,0,2
67,Road No 37,1,2,1,1,1,3,0,0,0,,2,3
68,Road No 40,2,1,2,7,4,14,0,0,0,,,
69,Road No 41,5,6,2,11,10,5,0,0,0,,16,16
70,Road No 56,7,9,15,23,14,23,0,0,0,,,
71,Road No 57,2,4,6,12,11,20,0,1,1,,14,16
72,Road No 66,0,5,0,3,9,11,0,0,0,,3,14
73,Rohtak Road,38,46,63,100,89,126,1,1,2,,139,136
74,Roshanara Road,2,0,3,2,10,9,0,0,0,,4,10
75,Shanti Path,0,0,0,2,0,0,0,0,0,,2,0
76,Station Road,3,3,1,14,6,7,0,1,1,,17,10
77,Todapur Road (Dps Marg),5,8,4,6,8,14,0,0,0,,11,16
78,Vikas Marg,7,5,9,20,30,33,0,1,0,,27,36
79,Viveka Nand Marg,0,0,0,3,1,2,0,0,0,,3,1
80,Wazirabad Road,23,21,25,41,80,78,0,0,2,,64,101
81,Yamuna Pushta Road,8,8,12,16,15,18,0,0,0,,24,23
82,Road No 13A,3,6,6,9,17,12,0,0,0,,12,23
83,Baba Kharak Singh Marg,2,6,3,3,6,10,0,0,0,,5,12
84,Bawana Auchandi Road,1,0,5,4,2,2,0,0,0,,5,2
85,Bijwasan Road,9,9,7,10,12,13,9,0,0,,19,21
86,Burari Road,5,5,6,20,17,9,1,0,1,,26,22
87,Chhawla Road,2,0,1,3,3,3,0,0,0,,5,3
88,DDU Marg,0,1,1,1,2,5,0,0,0,,1,3
89,Jai Singh Road,0,0,0,0,1,0,0,0,0,,0,1
90,Jail Road,1,3,1,4,7,7,0,0,0,,5,10
91,Jaitpur Road,1,2,4,3,9,0,0,0,0,,4,11
92,Janpath,1,2,2,2,4,5,0,0,0,,3,6
93,Kotla Road,2,3,4,1,9,4,0,0,0,,3,12
94,Lodi Road,2,0,0,13,6,2,0,0,1,,15,6
95,Maharaja Surajmal Road,1,0,0,0,1,3,0,0,0,,1,1
96,Pusa Road,2,1,2,4,12,6,0,0,0,,6,13
97,Pusta Road,10,7,10,26,29,53,0,0,1,,36,36
98,Qutab Garh Road,4,0,2,4,4,2,0,0,0,,8,4
99,Ramdev Marg,0,1,0,2,0,2,0,0,0,,2,1
100,Ridge Road,2,3,2,2,3,2,0,0,1,,4,6
