Sl_No,Road_Name,Fatal_Crashes,Total_Crashes,Persons_Killed
1,Ring Road,119,349,122
2,Outer Ring Road,102,349,104
3,GTK Road,65,183,70
4,Rohtak Road,63,191,64
5,NH-8,29,84,30
6,Bawana Road,28,79,28
7,Mathura Road,27,117,27
8,Wazirabad Road,25,105,26
9,Grand Trunk Road,25,98,27
10,NH-24,25,93,26
11,Najafgarh Road,24,120,25
12,Mehrauli Badarpur Road,20,45,20
13,201 No. Road,15,70,15
14,Road No 56,15,38,15
15,Yamuna Pusta Road,12,30,12
16,Pusta Road,10,64,10
17,Kanjhawala Road,10,30,10
18,Desh Bandu Gupta Road,10,26,10
19,Vikas Marg,9,42,10
