Sl_No,Road_Name,Simple_Day,Simple_Night,Fatal_Day,Fatal_Night,Total_Day,Total_Night
1,Outer Ring Road,31,36,15,25,46,61
2,Ring Road,41,33,10,29,51,62
3,Rohtak Road,33,20,21,14,54,34
4,GTK Road,29,13,14,19,43,32
5,Bawana Road,9,4,4,8,13,12
6,Road No 56,7,2,7,5,14,7
7,Mathura Road,17,10,5,6,22,16
8,NH-8,3,2,5,6,8,8
9,Najafgarh Road,20,13,3,7,23,20
10,Grand Trunk Road,17,6,4,5,21,11
11,Wazirabad Road,28,11,2,5,30,16
12,Desh Bandu Gupta Road,5,5,5,2,10,7
13,Pusta Road,16,11,2,4,18,15
14,201 No. Road,10,8,5,1,15,9
15,Mehrauli Badarpur Road,4,3,3,3,7,6
16,Jawar Lal Nehru Road,4,0,4,2,8,2
17,Patel Road,2,4,2,3,4,7
18,NH-24,13,10,3,1,16,11
19,Pankha Road,8,2,0,4,8,6
20,Road No 57,7,1,3,1,10,2
21,Narela Road,4,3,1,3,5,6
22,Yamuna Pusta Road,3,3,0,4,3,7
23,Lala Lajpat Rai Path,6,0,2,2,8,2
24,Mehrauli Gurgaon Road,7,2,1,2,8,4
25,Baba Kharak Singh Marg,4,4,2,1,6,5
