Sl_No,Road_Name,Simple_Day,Simple_Night,Fatal_Day,Fatal_Night,Total_Day,Total_Night
1,Ring Road,50,46,24,27,74,74
2,Outer Ring Road,65,49,17,29,82,78
3,GTK Road,31,14,9,14,40,28
4,Rohtak Road,26,28,7,12,33,40
5,Wazirabad Road,18,11,9,7,27,18
6,NH-24,16,12,4,10,20,22
7,Bawana Road,22,7,6,7,28,14
8,NH-8,18,18,4,8,22,26
9,Najafgarh Road,20,21,7,4,27,26
10,Grand Trunk Road,20,11,3,7,23,18
11,Mehrauli Badarpur Road,6,5,4,6,10,11
12,Mathura Road,16,20,2,6,18,26
13,Kanjhawala Road,3,5,3,4,6,9
14,201 No. Road,10,13,2,4,12,17
15,Anand Mai Marg,13,5,3,3,16,8
16,Vikas Marg,10,7,2,3,12,10
17,Mehrauli Gurgaon Road,6,7,0,5,6,12
18,Bijwasan Road,5,1,3,2,8,3
19,Narela Road,6,4,0,4,6,8
20,Agra Canal Road,6,4,2,2,8,6
21,Yamuna Pusta Road,6,3,2,2,8,5
22,Pankha Road,1,6,0,4,1,10
23,13A No Road,5,0,2,2,7,2
24,Jharoda Road,3,1,3,1,6,2
25,Dansha Road,2,0,2,2,4,2
