Sl_No,Traffic_Circle,Fatal_2016,Fatal_2017,Fatal_2018,Fatal_2019,Fatal_2020,Injury_2016,Injury_2017,Injury_2018,Injury_2019,Injury_2020,NonInjury_2016,NonInjury_2017,NonInjury_2018,NonInjury_2019,NonInjury_2020,Total_2016,Total_2017,Total_2018,Total_2019,Total_2020
1,ASHOK VIHAR,49,42,48,40,33,122,92,132,136,69,4,2,2,0,1,175,236,182,176,103
2,BARAKHAMBA,1,4,4,3,2,26,29,20,23,9,2,3,3,4,1,29,36,27,30,12
3,BURARI,106,133,104,93,80,244,199,191,188,137,0,2,0,1,3,350,334,295,282,220
4,BAWANA,54,66,78,56,55,115,131,111,110,70,0,0,1,0,0,169,197,190,166,125
6,CIVIL LINES,54,36,55,54,28,132,120,118,99,65,0,2,0,0,0,186,158,173,153,93
7,DELHI CANTT.,45,28,38,25,19,87,66,74,68,68,3,1,4,3,0,135,95,116,96,87
8,DARYAGANJ,28,30,28,22,14,76,65,56,43,30,0,2,1,1,0,104,97,85,66,44
9,COLONY,22,21,21,20,18,85,97,101,83,61,1,3,3,3,1,108,121,125,106,80
10,DWARKA,25,51,54,36,24,200,162,154,138,113,7,1,2,3,2,232,214,210,177,139
11,NAGAR,17,13,17,13,16,86,91,61,37,28,10,3,1,3,1,103,107,79,53,44
12,KAILASH,10,11,7,16,14,70,55,51,51,31,2,0,0,0,0,82,66,58,67,45
13,HAUZKHAS,6,14,13,8,5,47,58,61,32,44,3,0,0,1,0,56,72,74,41,49
15,JANAK PURI,40,36,33,31,31,145,131,120,94,60,0,2,0,0,0,185,169,153,125,91
16,KAROL BAGH,9,10,13,11,13,79,60,45,51,39,3,3,0,0,0,91,73,58,62,52
17,KALKAJI,34,39,30,38,35,155,124,132,79,54,9,3,5,0,1,198,166,167,117,90
18,KOTWALI,19,16,18,26,15,51,58,47,61,37,0,1,0,1,0,70,75,65,88,52
19,MARKET,10,7,10,6,3,26,22,27,16,7,0,0,0,1,0,36,29,37,23,10
20,KALYAN PURI,35,63,56,57,33,212,164,161,99,91,6,5,5,2,0,253,232,222,158,124
21,KAPASHERA,29,25,21,29,23,93,72,69,66,37,2,2,0,0,0,124,99,90,95,60
22,LAIPAT,37,35,29,33,20,114,87,80,73,67,8,7,10,1,1,159,129,119,107,88
23,MEHRAULI,31,18,26,21,17,130,84,93,77,55,1,0,0,0,0,162,102,119,98,72
24,MODELTOWN,44,44,52,41,40,179,162,128,109,91,11,4,1,1,0,234,210,181,151,131
25,MAYA PURI,24,31,31,19,29,83,83,71,55,39,0,1,1,3,0,107,115,103,77,68
26,MANDAWALI,11,23,27,31,14,131,108,96,81,73,1,3,1,3,0,143,134,124,115,88
27,MANGOLPURI,57,59,56,58,67,237,229,235,188,163,0,0,0,1,1,294,288,291,247,231
28,NAJAFGARH,68,52,48,50,44,138,125,145,106,106,1,0,3,0,1,207,177,196,156,150
29,NANGLOI,42,63,88,59,51,192,171,167,160,108,3,1,1,1,1,237,235,256,220,160
30,NARELA,83,65,61,37,41,139,4114,84,95,49,0,0,0,0,0,222,179,145,132,90
31,AIRPORT,8,10,12,7,8,21,16,17,11,16,1,1,0,0,0,30,27,29,18,24
33,PAHAR GANJ,8,8,7,11,6,26,37,29,26,29,4,1,3,0,0,38,46,39,37,35
34,PT. STREET,20,15,20,13,13,53,50,43,40,32,4,3,0,3,1,77,68,63,56,46
35,PT. HOUSE,2,2,3,0,0,6,4,5,1,2,0,0,1,0,1,8,6,9,1,3
36,PATEL NAGAR,26,22,32,19,17,87,56,59,66,60,0,1,0,0,0,113,79,91,85,77
37,R.K. PURAM,20,14,19,18,10,117,111,81,74,29,2,3,0,4,0,139,128,100,96,39
38,GARDEN,28,24,31,24,26,77,47,79,66,81,1,0,0,0,0,106,71,110,90,107
39,ROHINI,44,44,32,32,34,176,6132,6145,155,103,10,0,1,3,1,220,176,178,190,138
40,SADARBAZAR-,17,16,27,23,8,84,76,72,66,32,1,1,1,0,0,102,93,100,89,40
41,SHAHDARA,34,33,49,31,15,165,129,159,121,65,0,0,2,0,0,199,162,210,152,80
42,SUBZI MANDI,15,11,8,20,13,60,75,58,40,40,0,0,0,0,0,75,86,66,60,53
43,SARITAVIHAR,35,32,49,40,19,164,141,133,122,113,11,1,5,2,0,210,177,187,164,132
44,SAKET,10,11,11,10,13,65,62,60,36,33,1,0,0,0,0,76,73,71,46,46
46,SEEMA PURI,36,29,47,52,32,182,168,152,119,65,10,0,0,2,1,218,197,199,173,97
47,KHAJOORI,30,29,30,30,25,164,171,131,132,79,1,1,1,0,1,195,201,162,162,105
48,SUKHDEV,18,17,10,9,9,62,54,47,59,33,3,3,4,10,1,83,74,61,68,43
49,TILAK NAGAR,41,43,39,27,31,143,159,158,108,73,2,1,1,0,0,186,203,198,135,104
50,TILAK MARG,15,18,12,10,4,40,36,30,25,20,7,6,1,0,0,62,60,43,35,24
51,TUGHLAK,5,11,11,6,3,42,30,22,10,10,3,1,1,1,0,50,42,34,17,13
52,VIVEK VIHAR,33,32,32,31,18,152,99,89,76,64,10,3,1,0,1,195,134,122,107,82
