District,Sl_No,Road_Name,Fatal_Crashes,Total_Crashes,Persons_Killed
Unknown,1,Desh Bandu Gupta Rd,10,26,10
Unknown,2,Ring Road,9,32,9
Unknown,3,Jawar Lal Nehru Rd,6,17,6
Unknown,4,New Rohtak Road,4,19,4
Unknown,5,Vikas Marg,4,13,4
Unknown,6,Patel Road,2,14,2
Unknown,7,Pusa Road,2,8,2
Unknown,8,Minto Road,2,2,2
Unknown,9,Indra Prastha Marg,2,2,2
Unknown,10,Bahadur Shah Zr Marg,1,7,1
Unknown,1,Najafgarh Road,11,57,12
Unknown,2,201 No. Road,10,51,10
Unknown,3,Dansha Road,8,17,9
Unknown,4,Jharoda Road,7,20,7
Unknown,5,Palam Dabri Road,1,15,1
Unknown,6,Najafgarh Nangloi Road,1,7,1
Unknown,7,Chhawla Road,1,4,1
Unknown,8,Dabri-Nasirpur Road,1,3,1
Unknown,9,Ghuman Hera Marg,1,1,1
Unknown,10,Bharthal Marg,1,1,1
Unknown,1,NH-24,23,88,24
Unknown,2,Road No 56,13,30,13
Unknown,3,Yamuna Pusta Road,6,14,6
Unknown,4,Kotla Road,4,8,4
Unknown,5,Vikas Marg,3,24,4
Unknown,6,Road No 57,3,13,3
Unknown,7,Noida Road,2,13,2
Unknown,8,Patpar Ganj Road,2,8,2
Unknown,9,Narwana Road,1,5,1
Unknown,10,Khichari Pur Road,1,3,1
Unknown,1,Sardar Patel Marg,5,10,5
Unknown,2,Outer Circle CP,4,8,4
Unknown,3,Baba Kharak Singh Marg,3,13,3
Unknown,4,Ashoka Road,3,10,3
Unknown,5,Ring Road,3,4,3
Unknown,6,Janpath,2,7,2
Unknown,7,Vinay Marg,2,6,2
Unknown,8,Barakhamba Road,2,5,2
Unknown,9,Panchkuian Road,2,5,2
Unknown,10,Tilak Marg,2,4,2
Unknown,1,Outer Ring Road,27,97,27
Unknown,2,Ring Road,9,44,9
Unknown,3,Burari Road,4,10,4
Unknown,4,Wazirabad Road,4,9,4
Unknown,5,Raja Ram Marg,4,9,4
Unknown,6,Old Rohtak Road,4,7,4
Unknown,7,SPM Marg,4,5,4
Unknown,8,Roshanara Road,3,12,3
Unknown,9,Road No 40,2,16,2
Unknown,10,Rajpur Road,2,12,2
Unknown,1,Wazirabad Road,21,96,22
Unknown,2,Grand Trunk Road,13,61,15
Unknown,3,Pusta Road,10,64,10
Unknown,4,Loni Road,3,15,3
Unknown,5,100 Foota Road,2,3,2
Unknown,6,Karawal Nagar Road,1,11,1
Unknown,7,Tahirpur Road,1,2,1
Unknown,8,Mandoli Road,1,2,2
Unknown,9,Road No 66,0,11,0
Unknown,10,Braham Puri Road,0,4,0
Unknown,1,Grand Trunk Road,12,37,12
Unknown,2,Yamuna Pusta Road,6,16,6
Unknown,3,Road No 57,3,14,3
Unknown,4,Road No 56,2,8,2
Unknown,5,71 No Road,2,6,2
Unknown,6,Vikas Marg,2,5,2
Unknown,7,Road No 58,2,4,2
Unknown,8,Master Somanath Marg,2,2,2
Unknown,9,GTB Hospital Road,1,4,1
Unknown,10,Raja Ram Kohli Marg,1,3,1
Unknown,1,Ring Road,33,82,33
Unknown,2,Outer Ring Road,32,80,33
Unknown,3,GTK Road,14,67,14
Unknown,4,51 No Road,4,14,4
Unknown,5,Lawrance Road,2,10,2
Unknown,6,Swami Narain Marg,1,10,1
Unknown,7,Road No 37,1,4,1
Unknown,8,Road No 43,1,2,1
Unknown,9,Road No 41,1,1,1
Unknown,10,Satyawati Road,1,1,1
Unknown,1,Rohtak Road,44,149,45
Unknown,2,Outer Ring Road,21,60,21
Unknown,3,Najafgarh Nangloi Road,3,22,3
Unknown,4,Kanjhawala Road,1,6,1
Unknown,5,Road No 43,1,3,1
Unknown,6,Road No 30,1,2,1
Unknown,7,Parwana Road,1,2,1
Unknown,8,Kirari Road,0,1,0
Unknown,9,Balbir Singh Marg,0,1,0
Unknown,1,GTK Road,51,114,56
Unknown,2,Bawana Road,28,79,28
Unknown,3,Narela Road,9,29,9
Unknown,4,Palla Road,5,13,5
Unknown,5,Bawana Auchandi Road,5,7,5
Unknown,6,Burari Road,2,5,2
Unknown,7,Outer Ring Road,2,3,2
Unknown,8,Alipur Road,1,11,1
Unknown,9,DSIDC Narela Road,1,8,1
Unknown,10,Kanjhawala Road,1,3,1
Unknown,1,Kanjhawala Road,8,21,8
Unknown,2,Bhagwan Mahavir Marg,4,21,4
Unknown,3,Qutab Garh Road,2,4,2
Unknown,4,Road No 41,1,5,1
Unknown,5,Dinbandhu Chhote Ram Marg,1,2,1
Unknown,6,Rithala Road,0,2,0
Unknown,7,Parwana Road,0,1,0
Unknown,8,Maharaja Agarsen Road,0,1,0
Unknown,9,Begumpur Road,0,1,0
Unknown,10,Awantika Road,0,1,0
Unknown,1,Mehrauli Badarpur Road,10,34,10
Unknown,2,Mehrauli Gurgaon Road,9,33,9
Unknown,3,Aurobindo Marg,6,24,6
Unknown,4,Ring Road,4,20,6
Unknown,5,Press Enclave Marg,4,9,4
Unknown,6,Outer Ring Road,3,30,3
Unknown,7,Lala Lajpat Rai Path,3,8,3
Unknown,8,Anuvrat Road,2,5,2
Unknown,9,100 Foota Chhattar Pur Road,2,3,2
Unknown,10,Lal Bhadur Shastri Marg,1,17,1
Unknown,1,Mathura Road,26,110,26
Unknown,2,Ring Road,16,55,17
Unknown,3,Mehrauli Badarpur Road,10,11,10
Unknown,4,Anand Mai Marg,8,42,8
Unknown,5,Agra Canal Road,6,21,6
Unknown,6,13A No Road,6,18,6
Unknown,7,Jaitpur Road,4,4,4
Unknown,8,Outer Ring Road,3,21,3
Unknown,9,Okhla Road,3,6,3
Unknown,10,Lala Lajpat Rai Path,2,19,3
Unknown,1,NH-8,29,84,30
Unknown,2,Ring Road,15,47,15
Unknown,3,Outer Ring Road,10,33,11
Unknown,4,Bijwasan Road,7,16,7
Unknown,5,201 No. Road,5,19,5
Unknown,6,Old Gurgaon Road,4,9,4
Unknown,7,Mahipal Pur Road,3,19,3
Unknown,8,Rao Tula Ram Marg,3,15,3
Unknown,9,Thimayya Marg,3,7,3
Unknown,10,Nelson Mandela Marg,2,4,2
Unknown,1,Ring Road,30,65,30
Unknown,2,Rohtak Road,19,42,19
Unknown,3,Najafgarh Road,13,63,13
Unknown,4,Pankha Road,8,27,8
Unknown,5,Mayapuri Marg,6,17,6
Unknown,6,Patel Road,5,16,5
Unknown,7,Outer Ring Road,4,25,4
Unknown,8,Dev Prakash Shastri Road,4,18,5
Unknown,9,Rama Road,3,10,3
Unknown,10,Jail Road,1,8,1
