Sl_No,Road_Name,Fatal_2017,Fatal_2018,Fatal_2019,Fatal_2020,Injury_2017,Injury_2018,Injury_2019,Injury_2020,NonInjury_2017,NonInjury_2018,NonInjury_2019,NonInjury_2020,Total_2017,Total_2018,Total_2019,Total_2020
1,AFRICA AVENUE,3,1,0,0,12,9,5,3,0,0,0,0,15,10,5,3
2,ALIPUR ROAD,1,0,0,0,2,0,1,2,0,0,0,0,3,0,1,2
3,ANAND MAI MARG,11,12,10,8,35,44,19,12,0,0,0,0,46,56,29,20
4,ARUNA ASAF ALI MARG,2,2,2,1,4,4,13,3,0,0,1,0,6,6,16,4
5,ASAF ALI ROAD,0,3,1,1,6,6,2,1,0,0,0,0,6,9,3,2
6,AUGUST KRANTI MARG,0,1,0,0,1,1,0,1,0,0,0,0,1,2,0,1
7,AUROBINDO MARG,4,4,10,6,27,35,17,19,0,0,1,0,31,39,28,25
8,BAHADUR SHAH ZR MARG,4,1,3,2,4,5,2,2,0,0,1,0,4,6,6,4
9,BAWANA ROAD,13,17,12,14,20,13,22,17,0,0,0,0,33,30,34,31
10,BHATI MINE MARG,2,2,2,0,4,4,7,7,0,0,0,0,6,6,9,7
11,BOULEVARD ROAD,5,7,10,2,20,15,14,7,0,0,0,0,25,22,24,9
12,CAPTAIN GAUR MARG,0,0,0,1,0,1,4,1,0,0,0,0,0,1,4,2
13,CHHATARPUR ROAD,1,2,1,0,0,3,4,3,0,0,0,0,1,5,5,3
14,DHANSA ROAD,9,8,5,5,21,12,14,3,0,0,0,0,30,20,19,8
15,DESH BANDU GUPTA RD,1,7,7,2,19,12,11,12,1,0,1,0,21,19,18,14
16,DR. AMBEDKAR ROAD,0,1,2,0,1,5,4,2,0,0,0,0,1,6,6,2
17,DSIDC NARELA ROAD,1,4,2,2,1,2,4,0,0,0,0,0,2,6,6,2
18,DWARKA ROAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,FAIZ ROAD,0,1,2,2,0,4,1,1,0,0,0,0,0,5,3,3
20,GHUMAN HERA MARG,0,0,1,0,2,5,1,1,0,0,0,0,2,5,2,1
21,GRAND TRUNK ROAD,29,29,27,14,77,93,65,40,0,2,1,0,106,124,93,54
22,GTK ROAD,86,66,56,46,111,115,94,72,2,0,1,1,199,181,151,119
23,GURGAON ROAD,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
24,ISBT ROAD,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0
25,JAWAHAR LAL NEHRU RD,5,3,5,4,8,13,11,1,0,0,0,0,13,16,16,5
26,JHARODA ROAD,1,4,2,5,7,4,5,5,0,0,0,0,8,8,7,10
27,KANJHAWALA ROAD,0,5,2,10,6,10,9,23,0,0,0,0,6,15,11,33
28,LALA LAJPAT RAI PATH,7,6,8,5,13,21,20,15,1,3,0,0,21,30,28,20
29,LONI ROAD,2,2,3,4,6,14,10,3,0,0,0,0,8,16,13,7
