Category,Sl_No,Road_Name,Fatal_2016,Fatal_2017,Fatal_2018,Fatal_2019,Fatal_2020,Simple_2016,Simple_2017,Simple_2018,Simple_2019,Simple_2020,NonInjury_2016,NonInjury_2017,NonInjury_2018,NonInjury_2019,NonInjury_2020,Total_2016,Total_2017,Total_2018,Total_2019,Total_2020
National Highway,1,ROHTAK ROAD (NH-10),37,55,75,51,38,135,140,147,132,100,2,0,1,1,174,196,223,186,139,
National Highway,2,MATHURA ROAD (NH-2),28,34,27,38,15,104,89,75,79,66,0,0,4,7,3,141,127,109,120,75
National Highway,3,NH-8,39,28,30,20,27,96,66,49,48,61,3,0,2,2,0,138,96,81,68,88
National Highway,4,NH-24,10,30,14,26,17,52,42,43,29,26,1,0,1,1,0,63,73,58,55,43
National Highway,5,G.T. KARNAL ROAD (NH-1),84,86,66,56,46,133,111,115,94,72,4,0,2,0,1,221,199,181,151,119
National Highway,6,G.T. ROAD (NH-58),27,29,29,27,14,81,77,93,65,40,0,0,0,2,1,108,106,124,93,54
Ring Road,1,AZAD PUR TO DHAULA KUAN,47,45,50,48,41,81,71,106,94,69,1,4,1,0,4,129,117,156,143,110
Ring Road,2,DHAULA KUAN TO I.P. DEPOT,39,34,35,29,23,110,92,89,84,58,4,5,4,4,2,153,131,128,117,83
Ring Road,3,I.P. DEPOT TO I.P. COLLEGE,20,22,29,17,50,72,43,46,37,0,20,4,4,0,70,95,72,64,47,
Ring Road,4,I.P. COLLEGE TO AZADPUR,2,28,24,13,41,53,49,44,45,36,0,2,0,0,0,70,69,68,58,47
Outer Ring Road,1,OUTER RING ROAD (WEST),19,19,15,12,7,35,27,44,41,23,0,0,1,0,0,54,46,60,53,30
Outer Ring Road,2,OUTER RING ROAD (NORTH),67,81,74,97,72,173,148,152,145,128,0,2,0,0,4,240,231,226,242,178
Outer Ring Road,3,OUTER RING ROAD (SOUTH),14,17,12,16,18,65,65,30,50,38,0,0,0,0,0,80,80,62,65,55
