Sl_No,Black_Spot,Simple_2021,Simple_2022,Fatal_2021,Fatal_2022,Total_2021,Total_2022,Injured_2021,Injured_2022,Killed_2021,Killed_2022
1,Azadpur Chowk,4,9,2,3,6,12,4,11,2,3
2,Bhalswa Chowk,3,14,8,7,11,21,3,17,8,7
3,Mukarba Chowk,11,11,7,12,18,23,15,14,7,12
4,Burari Chowk,4,9,4,2,8,11,6,16,5,2
5,Majnu Ka Tila,10,6,4,2,14,8,15,7,4,2
6,Punjabi Bagh Chowk,11,8,7,7,18,15,16,11,7,7
7,Ghazipur Flyover Murga Mandi,8,8,2,5,10,13,9,10,2,5
8,Mukundpur Chowk,7,16,6,5,13,21,12,29,6,5
9,Rajoukari Fly- over,6,6,2,5,8,11,8,7,2,5
10,Madhuban Chowk,4,2,1,4,5,6,6,3,1,4
