Rank,Road_Name,Fatal_Accidents,Total_Accidents,Persons_Killed
1,RING ROAD,85,287,88
2,OUTER RING ROAD,97,256,100
3,ROHTAK ROAD,38,139,39
4,GTK ROAD,46,119,48
10,GRAND TRUNK ROAD,14,54,14
13,PUSTA ROAD,10,36,11
14,KANJHAWALA ROAD,10,33,10
15,BAWANA ROAD,14,31,14
16,PATEL ROAD,7,30,9
17,ROAD NO,56,7,30
18,NAJAFGARH NANGLOI RD,7,28,7
19,AGRA CANAL ROAD,5,28,5
20,VIKAS MARG,7,27,7
21,BURARI ROAD,5,26,5
22,AUROBINDO MARG,6,25,6
23,YAMUNA PUSTA ROAD,8,24,8
24,NEW ROHTAK ROAD,7,24,7
25,MAHIPAL PUR ROAD,8,22,8
