Rank,Road_Name,Simple_Day,Simple_Night,Fatal_Day,Fatal_Night,Total_Day,Total_Night
1,RING ROAD,28,24,16,18,44,42
2,OUTER RING ROAD,26,20,13,18,39,38
3,GTK ROAD,16,15,16,15,32,30
4,ROHTAK ROAD,25,16,10,5,35,21
7,BAWANA ROAD,5,1,6,3,11,4
8,NAJAFGARH ROAD,22,17,5,3,27,20
10,MATHURA ROAD,14,4,4,2,18,6
13,GRAND TRUNK ROAD,9,0,1,4,10,4
14,KANJHAWALA ROAD,2,6,4,1,6,7
15,MAHIPAL PUR ROAD,6,2,4,1,10,3
17,PUSTA ROAD,6,2,1,3,7,5
19,VIKAS MARG,4,6,0,3,4,9
23,SPMMARG,1,0,1,2,2,2
24,PATEL ROAD,9,1,0,2,9,3
25,BURARI ROAD,3,3,1,1,4,4
