Sl_No,Road_Name,Crash_Prone_Zones,Simple_Crashes,Fatal_Crashes,Total_Crashes
1,Ring Road,25,174,104,278
2,GTK Road,17,104,76,180
3,Outer Ring Road,15,127,56,183
4,NH-24,5,41,20,61
5,Rohtak Road,5,29,17,46
6,G.T. Road,5,47,16,63
7,Wazirabad Road,5,41,15,56
8,Mehrauli Badarpur Road,4,7,16,23
9,NH-8,4,23,15,38
10,Mathura Road,3,19,8,27
11,Pankha Road,2,6,7,13
12,Road No.56,2,8,7,15
13,Najafgarh Road,2,11,6,17
14,Anand Mai Marg,2,13,6,19
15,BKS Marg,2,12,6,18
16,N. Subhash Marg,2,10,6,16
17,Patel Road,2,17,6,23
18,Jawahar Lal Nehru Marg,1,4,5,9
19,Road No 13a,1,7,5,12
20,Jail Road,1,1,4,5
21,Road No. 41,1,2,4,6
22,Yamuna Pusta Road,1,2,3,5
23,Nangloi Najafgarh Rd,1,8,3,11
24,Sardar Patel Marg,1,1,3,4
25,Vikas Marg,1,7,3,10
26,Bawana Road,1,3,3,6
27,Azad Hind Fauj Marg,1,9,2,11
28,Road No.201,1,8,2,10
29,Loni Road,1,9,1,10
30,Josef Brij Tito Marg,1,10,1,11
31,Boulevard Road,1,10,1,11
32,Road No 224,1,12,0,12
