Sl_No,Crash_Prone_Zone,Simple_Crashes,Fatal_Crashes,Total_Crashes
1,Britannia Chowk,4,5,9
2,GB Pant Hospital,2,5,7
3,Peera Garhi Chowk,4,4,8
4,Metro Station Madipur,3,4,7
5,Rama Road Crossing,2,4,6
6,Rajoukari Flyover,0,4,4
7,Adarsh Nagar,0,4,4
8,Delhi Gate,5,3,8
9,Khampur Village,5,3,8
10,Azadpur Bus Terminal,4,3,7
11,Mukarba Chowk,3,3,6
12,Monestry Ring Road,3,3,6
13,Dhaula Kuan,2,3,5
14,Metro Station East Punjabi Bagh,2,3,5
15,Under Pass Gajipur,2,3,5
16,Nirankari Colony,1,3,4
17,Punjabi Bagh Chowk,1,3,4
18,DC Office,1,3,4
19,SGT Nagar,1,3,4
20,Telco Ghazipur,1,3,4
21,Lajpat Rai Market (Lal Qila),1,3,4
22,Gurudwara Bangla Sahib,0,3,3
23,Nangli Poona,0,3,3
24,CNG Pump/Jain Mandir,0,3,3
