District,Sl_No,Road_Name,Fatal_Accidents,Total_Accidents,Persons_Killed
Central,1,NEW ROHTAK ROAD,5,15,5
Central,2,RING ROAD,4,17,4
Central,3,JAWAHAR LAL NEHRU ROAD,4,5,4
Central,4,VIKAS MARG,3,6,3
Central,5,DESH BANDHU GUPTA RD,2,14,2
Central,6,PUSA ROAD,2,6,2
Central,7,BAHADUR SHAH ZR MARG,2,4,2
Central,8,CHITRA GUPTA ROAD,2,3,2
Central,9,FAIZ ROAD,2,3,2
Central,10,ARYA SAMAJ ROAD,2,3,2
Dwarka,3,STATION ROAD,3,17,3
Dwarka,4,RING ROAD,3,9,4
Dwarka,5,PARADE ROAD,2,3,2
Dwarka,6,PALAM ROAD,1,3,1
Dwarka,7,SADAR THANA MARG,1,2,1
Dwarka,3,AIR PORT ROAD,1,2,1
Dwarka,9,BRIJLAL DUA MARG,1,1,1
New Delhi,1,SARDAR PATEL MARG,3,6,3
New Delhi,2,BABA KHARAK SINGH MARG,2,5,2
New Delhi,3,PANDIT PANT MARG,2,4,2
New Delhi,4,RIDGE ROAD,2,4,2
New Delhi,5,C-HEXAGON,2,3,2
New Delhi,6,ASHOKA ROAD,1,4,1
New Delhi,7,BANGLA SAHIB MARG,1,4,1
New Delhi,8,RAFI MARG,1,4,1
New Delhi,9,JANPATH,1,3,1
New Delhi,10,AKBAR ROAD,1,2,1
East,2,YAMUNA PUSTA ROAD,8,22,8
East,3,ROAD NO,56,7,30
East,4,VIKAS MARG,4,21,4
East,5,ROAD NO,57,2,14
East,6,PATPAR GANJ ROAD,2,8,2
East,8,ROAD NO,58,2,5
East,9,KOTLA ROAD,2,3,2
East,10,NOIDA ROAD,1,5,1
North East,1,WAZIRABAD ROAD,21,59,23
North East,2,GRAND TRUNK ROAD,14,54,14
North East,3,PUSTA ROAD,10,36,11
North East,4,LONI ROAD,4,7,4
North East,5,KARAWAL NAGAR ROAD,3,10,3
North East,6,TAHIRPUR ROAD,1,2,1
North East,7,MANDOLI ROAD,1,2,1
North East,9,ROAD NO,66,0,3
North East,10,YAMUNA PUSTA ROAD,0,2,0
North,1,OUTER RING ROAD,16,30,16
North,2,RING ROAD,13,48,13
North,3,SPM MARG,3,6,3
North,4,RAJA RAM MARG,3,6,3
North,5,BOULEVARD ROAD,2,9,2
North,6,ROAD NO,40,2,9
North,7,N. SUBHASH MARG,2,6,2
North,8,WAZIRABAD ROAD,2,5,2
North,9,ROSHANARA ROAD,2,4,2
North,10,OLD ROHTAK ROAD,1,8,1
West,1,GTK ROAD,44,113,46
West,2,OUTER RING ROAD,39,80,40
West,3,RING ROAD,14,53,14
West,5,BURARI ROAD,5,26,5
West,6,NARELA ROAD,5,12,5
West,7,ROAD NO,43,4,12
West,8,LAWRENCE ROAD,3,6,3
West,9,BAWANA ROAD,2,3,2
West,10,SIRAS PUR ROAD,2,2,2
Outer,1,OUTER RING ROAD,19,72,20
Outer,2,BAWANA ROAD,12,28,12
Outer,3,KANJHAWALA ROAD,10,33,10
Outer,4,ROAD NO,41,5,15
Outer,5,QUTAB GARH ROAD,4,8,4
Outer,6,RITHALA ROAD,3,7,3
Outer,7,BADLI ROAD,2,2,2
Outer,8,DSIDC NARELA ROAD,2,2,2
Outer,9,BHAGWAN MAHAVIR MARG,1,8,1
Outer,10,BAWANA AUCHANDI ROAD,1,5,1
South,1,RING ROAD,12,35,12
South,2,OUTER RING ROAD,10,31,10
South,3,MAHIPAL PUR ROAD,8,22,8
South,4,MEHRAULI BADARPUR ROAD,7,18,7
South,5,AUROBINDO MARG,6,24,6
South,6,LALA LAJPAT RAI PATH,4,15,5
South,7,LODHI ROAD,2,15,2
South,8,MEHRAULI GURGAON ROAD,2,12,2
South,9,BHISHM PITAMAH MARG,2,12,2
South,10,NELSON MANDELA MARG,2,7,2
South East,1,MATHURA ROAD,15,75,16
South East,2,RING ROAD,11,48,12
South East,3,MEHRAULI BADARPUR ROAD,11,39,12
South East,4,ANAND MAI MARG,8,20,8
South East,5,OUTER RING ROAD,7,16,7
South East,6,AGRA CANAL ROAD,5,28,5
South East,7,LAL BHADUR SHASTRI MARG,5,20,5
South East,9,NOIDA DND ROAD,3,7,3
South East,10,RAVIDASS MARG,3,6,3
West,1,NAJAF GARH ROAD,15,74,15
West,3,BUWASAN ROAD,9,19,9
West,4,JHARODA ROAD,5,10,5
West,5,DHANSA ROAD,5,8,5
West,6,OUTER RING ROAD,3,10,4
West,8,CHHAWLA ROAD,2,5,2
West,9,KAPASHERA ROAD,1,5,1
West,10,OLD GURGAON ROAD,1,3,1
West,1,ROHTAK ROAD,38,139,39
West,2,RING ROAD,28,72,29
West,3,PATEL ROAD,7,30,9
West,4,NAJAFGARH NANGLOI RD,7,22,7
West,5,PANKHA ROAD,7,14,7
West,6,NAJAF GARH ROAD,5,30,5
West,7,DEV PRAKASH SHASTRI ROAD,5,11,5
West,8,OUTER RING ROAD,3,17,3
West,9,NEW ROHTAK ROAD,2,9,2
West,10,MAYAPURI MARG,2,3,2
