Sl_No,Accident_Prone_Zone,Simple_Crashes,Fatal_Crashes,Total_Crashes
1,Mukarba Chowk,2,9,11
2,Gandhi Vihar Bus Stand,12,5,17
3,Maya Puri Chowk,4,5,9
4,Bhalswa Chowk,6,4,10
5,Dhaula Kuan,3,4,7
6,Ashram Chowk,3,4,7
7,Murga Mandi Flyover,2,4,6
8,Kalindi Kunj,2,4,6
9,Khampur Village,2,4,6
10,Wazir Pur Depot,1,4,5
11,ITO/I P Flyover,13,3,16
12,Shalimar Bagh,5,3,8
13,Pani Ki Tanki,5,3,8
14,Govindpuri Metro Station,4,3,7
15,Loni Road Crossing,4,3,7
16,Zakhira Flyover,3,3,6
17,Gokalpuri,2,3,5
18,Libas Pur Bus Stand,2,3,5
19,Hyaat Hotel,1,3,4
20,Okhla More,1,3,4
21,Shakar Pur Chungi,1,3,4
22,Subhash Nagar Metro Station,1,3,4
23,ICD Tuglakabad,0,3,3
24,Mukund Pur Chowk,11,2,13
25,Shanti Van,8,2,10
