Sl_No,Crash_Prone_Zone,Simple_Crashes,Fatal_Crashes,Total_Crashes
1,Khampur Village,5,6,11
2,Mukarba Chowk,2,6,8
3,Britannia Chowk,2,5,7
4,Dhaula Kuan,2,5,7
5,Gandhi Vihar Bus Stand,8,4,12
6,Metro Station Madipur,4,4,8
7,Rama Road Crossing,4,4,8
8,Maya Puri Chowk,2,4,6
9,Adarsh Nagar,2,4,6
10,Rajoukari Flyover,2,4,6
11,Monestry Ring Road,1,4,5
12,Shamshan Ghat Punjabi Bagh,1,4,5
13,GB Pant Hospital,0,4,4
14,Shani Mandir,0,4,4
15,Bhalswa Chowk,8,3,11
16,Shalimar Bagh,5,3,8
17,Punjabi Bagh Chowk,4,3,7
18,Azad Pur Chowk,4,3,7
19,Zakhira Flyover,2,3,5
20,Metro Station East Punjabi Bagh,2,3,5
21,Rajdhani Park,1,3,4
22,SGT Nagar,1,3,4
23,Madhuban Chowk,1,3,4
24,Shamshan Ghat Geeta Colony,1,3,4
25,Sai Baba Mandir,0,3,3
26,Kalkaji Mandir,0,3,3
