Black_Spot,Category,Item,Simple,Fatal,Total,Injured,Killed
Azad Pur Chowk,Day_Night,Day,,10,2200,,
Azad Pur Chowk,Offending_Vehicle,Car,,8,8,,
Azad Pur Chowk,Victim,Scooter,,8,8,,
Azad Pur Chowk,Offending_Vehicle,Un-Known,,7,5,,
Azad Pur Chowk,Victim,Pedestrian,,7,5,,
Bhalswa Chowk,Day_Night,Night,,3,0000,,
Bhalswa Chowk,Day_Night,Day,,8,1900,,
Bhalswa Chowk,Offending_Vehicle,Scooter,,2,6,,
Bhalswa Chowk,Victim,Scooter,,2,6,,
Mukarba Chowk,Day_Night,Night,,11,0500,,
Mukarba Chowk,Day_Night,Day,,3,2200,,
Mukarba Chowk,Offending_Vehicle,Un-Known,,7,4,,
Mukarba Chowk,Victim,Pedestrian,,7,4,,
Mukarba Chowk,Offending_Vehicle,Scooter,,1,4,,
Mukarba Chowk,Victim,Scooter,,1,4,,
Burari Chowk,Day_Night,Night,,8,1400,,
Burari Chowk,Day_Night,Day,,6,2200,,
Burari Chowk,Offending_Vehicle,Un-Known,,4,5,,
Burari Chowk,Victim,Pedestrian,,4,5,,
Burari Chowk,Offending_Vehicle,Scooter,,3,6,,
Burari Chowk,Victim,Scooter,,3,6,,
Majnu Ka Tila,Day_Night,Day,,4,0600,,
Majnu Ka Tila,Offending_Vehicle,Un-Known,,5,4,,
Majnu Ka Tila,Victim,Pedestrian,,5,4,,
Majnu Ka Tila,Offending_Vehicle,Car,,5,5,,
Majnu Ka Tila,Victim,Scooter,,5,5,,
Punjabi Bagh Chowk,Day_Night,Day,,10,0700,,
Punjabi Bagh Chowk,Offending_Vehicle,Un-Known,,4,10,,
Punjabi Bagh Chowk,Victim,Pedestrian,,4,10,,
Punjabi Bagh Chowk,Offending_Vehicle,Car,,3,11,,
Punjabi Bagh Chowk,Victim,Scooter,,3,11,,
Punjabi Bagh Chowk,Offending_Vehicle,HTV,,3,,,
Punjabi Bagh Chowk,Offending_Vehicle,Scooter,,3,,,
Punjabi Bagh Chowk,Victim,Scooter,,3,,,
Ghazipur Flyover Murga Mandi,Day_Night,Night,,5,0000,,
Ghazipur Flyover Murga Mandi,Offending_Vehicle,Un-Known,,3,7,,
Ghazipur Flyover Murga Mandi,Victim,Pedestrian,,3,7,,
Ghazipur Flyover Murga Mandi,Offending_Vehicle,Car,,10,10,,
Ghazipur Flyover Murga Mandi,Victim,Scooter,,10,10,,
Ghazipur Flyover Murga Mandi,Offending_Vehicle,Scooter,,5,,,
Ghazipur Flyover Murga Mandi,Victim,Scooter,,5,,,
Mukund Pur Chowk,Day_Night,Day,,5,2100,,
Mukund Pur Chowk,Offending_Vehicle,Un-Known,,4,7,,
Mukund Pur Chowk,Victim,Pedestrian,,4,7,,
Mukund Pur Chowk,Offending_Vehicle,Car,,3,4,,
Mukund Pur Chowk,Victim,Scooter,,3,4,,
Rajokari Flyover,Day_Night,Night,,5,1500,,
Rajokari Flyover,Day_Night,Day,,5,2200,,
Rajokari Flyover,Offending_Vehicle,Un-Known,,4,6,,
Rajokari Flyover,Victim,Pedestrian,,4,6,,
Rajokari Flyover,Offending_Vehicle,Scooter,,1,4,,
Rajokari Flyover,Victim,Scooter,,1,4,,
Madhuban Chowk,Day_Night,Night,,9,0200,,
Madhuban Chowk,Day_Night,Day,,4,0700,,
Madhuban Chowk,Offending_Vehicle,Un-Known,,5,4,,
Madhuban Chowk,Victim,Pedestrian,,5,4,,
Madhuban Chowk,Offending_Vehicle,Scooter,,2,6,,
Madhuban Chowk,Victim,Scooter,,2,6,,
