Sl_No,Crash_Prone_Zone,Simple_Crashes,Fatal_Crashes,Total_Crashes
1,Mukarba Chowk,5,7,12
2,Punjabi Bagh Chowk,7,6,13
3,Maya Puri Chowk,5,6,11
4,Ashram Chowk,4,6,10
5,Khampur Village,3,6,9
6,Gandhi Vihar Bus Stand,7,5,12
7,Adarsh Nagar,2,5,7
8,Wazir Pur Depot,4,4,8
9,Zakhira Flyover,4,4,8
10,Britannia Chowk,3,4,7
11,Mahipalpur Flyover,3,4,7
12,Prem Bari Pull,3,4,7
13,Shamshan Ghat Punjabi Bagh,2,4,6
14,Shani Mandir,1,4,5
15,Lajwanti Chowk,1,4,5
16,Madhuban Chowk,0,4,4
17,AIIMS,7,3,10
18,Shanti Van,7,3,10
19,Dhaula Kuan,6,3,9
20,Nirankari Colony,5,3,8
21,Murga Mandi Flyover,5,3,8
22,Shalimar Bagh,5,3,8
23,Metro Station Madipur,5,3,8
24,Pani Ki Tanki,5,3,8
25,Shiv Murti,4,3,7
26,Rajdhani Park,3,3,6
27,Azad Pur Chowk,2,3,5
28,Ghazipur Village Near Petrol Pump,2,3,5
29,Kalindi Kunj,2,3,5
30,Peera Garhi Chowk,2,3,5
31,Toll Plaza Badarpur,2,3,5
32,Libas Pur Bus Stand,2,3,5
33,Rajoukari Flyover,2,3,5
34,Janak Cinema,2,3,5
35,Gurudwara Raja Garden,1,3,4
36,Singhu Border,1,3,4
37,CNG Pump/Jain Mandir,1,3,4
38,Red Light Rajiv Gandhi Hospital,1,3,4
39,Nangli Poona,1,3,4
40,Lado Sarai Crossing,0,3,3
41,ICD Tuglakabad,0,3,3
42,C-1 Janakpuri,0,3,3
43,Mukund Pur Chowk,8,2,10
