Circle,Compound,Court,Total_Challan,Amount
AMV,0,2272,2272,0
AVC,1343,18678,20021,766000
BDP,131,12749,12880,83500
BGP,1,1977,1978,1000
BKR,828,12119,12947,449000
BNA,887,24608,25495,474500
BRD,459,10218,10677,251000
CHP,520,9253,9773,283500
CLC,1116,22310,23426,593000
CPC,189,2128,2317,99500
CRP,284,16725,17009,201500
CWL,12,8767,8779,6000
DBC,443,25852,26295,228500
DCC,449,9676,10125,243000
DFC,913,25543,26456,533000
DGC,1437,26241,27678,771000
DWC,885,40717,41602,476500
GKC,204,7982,8186,163500
GNC,784,17469,18253,427000
HKC,1077,36373,37450,606000
IGI,890,18296,19186,589000
JPC,310,19210,19520,172000
JRP,635,6048,6683,328000
KBC,1897,25649,27546,1012500
KJC,486,41008,41494,275500
KKC,1238,31943,33181,797500
KMC,482,19811,20293,264500
KOT,1401,45930,47331,737000
KPA,259,10384,10643,143000
KPC,2337,35565,37902,1254500
LNC,541,32171,32712,385500
MGP,746,51238,51984,433000
MPC,1339,46684,48023,718500
MRC,563,25828,26391,332500
MTC,1436,13784,15220,754500
MWC,569,8197,8766,334000
NFC,253,16602,16855,151000
NJC,1005,55259,56264,600500
NLC,1770,45718,47488,1152000
NRL,552,10757,11309,310000
PAP,111,1151,1262,60000
PBC,608,39230,39838,343500
PGC,1360,15213,16573,855000
PNC,431,18690,19121,241500
PRV,94,4242,4336,53000
PSV,42,8727,8769,27000
PTC,1130,20025,21155,607500
PTH,124,2379,2503,77500
PVC,673,12174,12847,385500
RGC,1111,54807,55918,658500
RHN,490,17527,18017,271000
RKP,598,9655,10253,352000
SBC,454,25126,25580,261500
SBP,47,1929,1976,31000
SDE,795,11867,12662,568500
SDV,190,5694,5884,101000
SGV,253,12460,12713,194500
SHD,795,41555,42350,467500
SKT,245,4531,4776,137000
SLC,10,335,345,6500
SLP,1,4704,4705,500
SMB,416,3648,4064,212000
SMC,233,7263,7496,132500
SNC,301,2620,2921,158500
SPB,477,5935,6412,272500
SPC,936,19486,20422,539500
SRC,188,13575,13763,118500
SVR,527,31027,31554,318000
TMC,495,9153,9648,281000
TMP,50,7061,7111,27500
TNC,695,56729,57424,454000
TRC,379,8043,8422,212500
VKC,445,19608,20053,253500
VKJ,319,13043,13362,190500
VVC,902,22439,23341,520000
