Sl_No,Circle_Name,Crash_Prone_Zones,Simple_Accidents,Fatal_Accidents,Total_Accidents
1,BURARI CIRCLE,7,41,43,84
2,CIVIL LINES CIRCLE,7,44,25,69
3,KHAZOORI CIRCLE,6,38,15,53
4,MAYA PURI CIRCLE,4,16,16,32
5,MODEL TOWN CIRCLE,3,27,17,44
6,PUNJABI BAGH CIRCLE,3,44,13,57
7,DARYA GANJ CIRCLE,3,21,11,32
8,VASANT VIHAR CIRCLE,3,11,11,22
9,KALKAJI CIRCLE,3,7,11,18
10,ASHOK VIHAR CIRCLE,3,23,10,33
11,SHAHDARA CIRCLE,3,25,9,34
12,SARITA VIHAR CIRCLE,3,34,7,41
13,KOTWALI CIRCLE,2,13,9,22
14,ROHINI CIRCLE,2,12,9,21
15,PATEL NAGAR CIRCLE,2,21,8,29
16,MANGOL PURI CIRCLE,2,16,7,23
17,RAJOURI GARDEN CIRCLE,2,10,7,17
18,DEFENCE COLONY CIRCLE,2,18,6,24
19,LAJPAT NAGAR CIRCLE,2,14,6,20
20,NANGLOI CIRCLE,2,12,5,17
21,KALYAN PURI CIRCLE,1,13,6,19
22,KAPASHERA CIRCLE,1,4,6,10
23,SUKHDEV VIHAR CIRCLE,1,6,4,10
24,NARELA CIRCLE,1,3,4,7
25,KAROL BAGH CIRCLE,1,2,4,6
26,DELHI CANTT CIRCLE,1,14,3,17
27,PARLIAMENT STREET CIRCLE,1,7,3,10
28,PALAM AIRPORT CIRCLE,1,5,3,8
29,GREATER KAILASH CIRCLE,1,5,3,8
30,R.K. PURAM CIRCLE,1,3,3,6
31,SEEMA PURI CIRCLE,1,8,2,10
32,VIVEK VIHAR CIRCLE,1,9,1,10
33,DWARKA CIRCLE,1,11,0,11
