Sl_No,Zone_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents
1,SGT NAGAR,3,2,5
2,NEAR AZADPUR SABZI MANDI,2,2,4
3,LOHA MANDI FLYOVER,0,2,2
4,NEHRU PLACE,0,2,2
5,BER SARAI FLYOVER,0,2,2
6,MANGOLPURI FLYOVER,3,1,4
7,SHALIMAR BAGH,2,1,3
8,SWAROOP NAGAR,1,1,2
9,GOKALPURI,1,1,2
10,NIRANKARI COLONY GOPALPUR RED LIGHT,1,1,2
11,SARAI KALE KHAN,1,1,2
12,BHALSWA CHOWK,1,1,2
13,RAJGHAT,1,1,2
14,MUKARBA CHOWK,1,1,2
15,MODI MILL FLYOVER,1,1,2
16,UDYOG NAGAR,1,1,2
17,METRO STATION HAIDER PUR,1,1,2
