Sl_No,Zone_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents
1,BHALSWA CHOWK,5,6,11
2,MUKARBA CHOWK,2,5,7
3,HANUMAN MANDIR YAMUNA BAZAR,1,5,6
4,PUNJABI BAGH CHOWK,6,4,10
5,ZAKHIRA FLYOVER,3,4,7
7,NIRANKARI COLONY GOPALPUR RED LIGHT,2,4,6
8,RAJOUKARI FLYOVER,2,4,6
9,DELHI GATE,1,4,5
11,BRITANNIA CHOWK,1,4,5
15,AZADPUR CHOWK,4,3,7
17,MUNIRKA FLYOVER,3,3,6
19,SIGNATURE BRIDGE KHAJOORI,2,3,5
22,MADHUBAN CHOWK,2,3,5
23,GANDHI VIHAR BUS STAND,2,3,5
24,MAJNU KATILA,2,3,5
26,SGTNAGAR,1,3,4
