Sl_No,Zone_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents
1,MUKARBA CHOWK,4,7,11
2,AZADPUR CHOWK,7,6,13
3,MUKUNDPUR CHOWK,3,5,8
4,BURARI CHOWK,3,5,8
5,PUNJABI BAGH CHOWK,9,4,13
6,ZAKHIRA FLYOVER,6,4,10
7,MOTI NAGAR FLYOVER,5,4,9
10,SEELAMPUR T POINT,1,4,5
11,MANGOLPURI FLYOVER,6,3,9
12,MADHUBAN CHOWK,6,3,9
13,BHALSWA CHOWK,5,3,8
15,NEAR AZADPUR SABZI MANDI,4,3,7
16,OKHLA SABZI MANDI,4,3,7
18,GANDHI VIHAR BUS STAND,3,3,6
19,NIRANKARI COLONY GOPALPUR RED LIGHT,3,3,6
20,SIGNATURE BRIDGE KHAJOORI,2,3,5
21,HANUMAN MANDIR YAMUNA BAZAR,2,3,5
23,SWAROOP NAGAR,2,3,5
24,SHANKAR VIHAR,2,3,5
25,METRO STATION HAIDER PUR,2,3,5
26,NARAINA,2,3,5
27,RAJOUKARI FLYOVER,2,3,5
28,MONESTRY RING ROAD,2,3,5
29,WAZIRABAD,2,3,5
30,WAZIRPUR DEPOT,2,3,5
31,NEHRU PLACE,1,3,4
32,MOOL CHAND,1,3,4
33,SGT NAGAR,1,3,4
35,SHAMSHAN GHAT PUNJABI BAGH,1,3,4
36,BER SARAI FLYOVER,0,3,3
37,LOHA MANDI FLYOVER,0,3,3
38,PEERAGARHI CHOWK,8,2,10
