Circle_Code,Compound,Court,Total_Prosecution,Amount
AVC,2427,28024,30451,1742600
BKR,2689,1685,4374,1491000
BWC,1696,16120,17816,949100
BRD,3547,15121,18668,1926900
CHP,3885,2260,6145,2220500
CLC,4765,23658,28423,2693500
DFC,4416,16730,21146,2619000
DGC,3570,11257,14827,1891500
DWC,7784,18327,26111,4750000
GKC,4050,18577,22627,2398200
GNC,7080,14815,21895,4349000
HKC,4694,14566,19260,2652000
IGI,3963,4371,8334,2356000
SPC,3295,22170,25465,1791000
KBC,7442,18189,25631,4121000
KIC,2729,13765,16494,1445000
KKC,5806,19031,24837,3274300
KMC,9702,12163,21865,5206000
KOT,9948,16515,26463,5323000
KHC,2653,33984,36637,1666900
KPC,8217,20444,28661,5165500
LNC,3485,19350,22835,2035100
MGP,5012,11726,16738,3035300
MPC,8000,16761,24761,4263000
MRC,6742,12416,19158,3562000
MTC,11129,14122,25251,5808500
MWC,9980,14847,24827,5922500
NJC,5081,19106,24187,3069100
NLC,4356,13881,18237,2654500
NRL,2799,20890,23689,1609000
PAP,5174,5419,10593,3027500
PBC,5119,24367,29486,2951500
PGC,9028,14565,23593,5095000
PNC,3694,18450,22144,2231500
PTC,9134,5910,15044,4793500
PTH,279,1010,1289,145000
RGC,3206,15263,18469,1925000
RHN,2306,17299,19605,1371800
RKP,4127,15317,19444,2220100
SBC,5544,15540,21084,3210500
SDV,3196,14098,17294,1700300
SGV,1639,22475,24114,1215700
SHD,9068,19112,28180,5333400
SKT,8584,16601,25185,4547100
SMC,6866,13029,19895,4032500
SPC,4859,21521,26380,2896600
TMC,2548,4683,7231,1674400
TNC,5084,24006,29090,3595100
TRC,1394,2952,4346,1004900
VKC,6923,18497,25420,4124500
TOTAL,275271,824143,1099414,158794400
