Location,Location_Type,Fatal_Crashes,Injury_Crashes,NonInjury_Crashes,Total_Crashes,Persons_Killed,District,Road_Name,Year,Category,Time_Period,Victim_Type
Aman Vihar,Traffic Circle,10,24,0,34,10,,,2022,Traffic Circle,All,All
Ashok Vihar,Traffic Circle,16,57,2,75,16,,,2022,Traffic Circle,All,All
Badarpur,Traffic Circle,38,76,0,114,38,,,2022,Traffic Circle,All,All
Bara Khamba Road,Traffic Circle,4,10,0,14,4,,,2022,Traffic Circle,All,All
Bawana,Traffic Circle,40,109,1,150,40,,,2022,Traffic Circle,All,All
Begum Pur,Traffic Circle,19,61,0,80,19,,,2022,Traffic Circle,All,All
Bhajan Pura,Traffic Circle,7,35,0,42,7,,,2022,Traffic Circle,All,All
Chanakya Puri,Traffic Circle,13,29,1,43,13,,,2022,Traffic Circle,All,All
Chhawla,Traffic Circle,20,39,3,62,20,,,2022,Traffic Circle,All,All
Chitranjan Park,Traffic Circle,10,56,0,66,10,,,2022,Traffic Circle,All,All
Civil Lines,Traffic Circle,20,71,2,93,20,,,2022,Traffic Circle,All,All
Dabri,Traffic Circle,12,55,3,70,12,,,2022,Traffic Circle,All,All
Darya Ganj,Traffic Circle,13,27,0,40,13,,,2022,Traffic Circle,All,All
Defence Colony,Traffic Circle,12,51,3,66,12,,,2022,Traffic Circle,All,All
Delhi Cantt,Traffic Circle,42,84,5,131,42,,,2022,Traffic Circle,All,All
Dwarka,Traffic Circle,24,171,3,198,24,,,2022,Traffic Circle,All,All
Gandhi Nagar,Traffic Circle,14,34,1,49,14,,,2022,Traffic Circle,All,All
Gokul Puri,Traffic Circle,16,62,1,79,16,,,2022,Traffic Circle,All,All
Hauz Khas,Traffic Circle,23,68,1,92,23,,,2022,Traffic Circle,All,All
IGI Airport,Traffic Circle,8,22,0,30,8,,,2022,Traffic Circle,All,All
Jahangir Puri,Traffic Circle,35,65,0,100,35,,,2022,Traffic Circle,All,All
Kalkaji,Traffic Circle,10,70,6,86,10,,,2022,Traffic Circle,All,All
Kalyan Puri,Traffic Circle,15,41,1,57,15,,,2022,Traffic Circle,All,All
Kamla Market,Traffic Circle,18,51,0,69,18,,,2022,Traffic Circle,All,All
Karol Bagh,Traffic Circle,7,24,1,32,7,,,2022,Traffic Circle,All,All
Khajuri Khas,Traffic Circle,11,62,0,73,11,,,2022,Traffic Circle,All,All
Kotwali,Traffic Circle,24,69,0,93,24,,,2022,Traffic Circle,All,All
Lajpat Nagar,Traffic Circle,32,88,7,127,32,,,2022,Traffic Circle,All,All
Madhu Vihar,Traffic Circle,37,79,2,118,37,,,2022,Traffic Circle,All,All
Mangol Puri,Traffic Circle,24,47,1,72,24,,,2022,Traffic Circle,All,All
Maya Puri,Traffic Circle,27,48,2,77,27,,,2022,Traffic Circle,All,All
Mayur Vihar,Traffic Circle,25,69,2,96,25,,,2022,Traffic Circle,All,All
Mehrauli,Traffic Circle,29,76,0,105,29,,,2022,Traffic Circle,All,All
Model Town,Traffic Circle,13,48,1,62,13,,,2022,Traffic Circle,All,All
